K,method,variant,acc_S_test_mean,auc_S_test_mean,acc_M_test_mean,auc_M_test_mean,acc_SM_mean,auc_SM_mean,acc_MS_mean,auc_MS_mean,asymmetry_mean
1,rf_native,soft,0.8420350482850484,0.8949067275756212,0.8465846653346653,0.8982414033269427,0.8122756410256411,0.885788479003514,0.802588245088245,0.8954858858881711,0.01174700299700295
2,rf_native,soft,0.8422827172827172,0.8977112740115363,0.8724650349650349,0.9267804773689514,0.8011222111222112,0.8673883065818631,0.8278762903762904,0.8657003986897219,0.027389277389277336
3,rf_native,soft,0.842322261072261,0.8971099278260867,0.8729541292041292,0.9273633230738625,0.8068231768231767,0.8712517713305675,0.8276843989343989,0.8670331077305976,0.024815601065601017
4,rf_native,soft,0.8427967865467866,0.8993246175860437,0.8753017815517815,0.9326393813063394,0.8149579587079586,0.8808837635058914,0.8271836496836497,0.8707827396962012,0.018317932067932013
5,rf_native,soft,0.851436063936064,0.9185373260813444,0.8762737262737262,0.9342380173314865,0.8200957375957376,0.876414008631229,0.8217495004995005,0.8631125882109899,0.016282467532467485
6,rf_native,soft,0.8592074592074592,0.9229500597429544,0.8972589910089911,0.9465756853868742,0.8442965367965368,0.8930979585058632,0.8407042957042957,0.8812250704257448,0.01276223776223772
7,rf_native,soft,0.8592261904761905,0.9236897707271083,0.8975503663003663,0.9466907899584598,0.8469759407259407,0.8947744438170888,0.8409665334665335,0.8806673758725457,0.014815601065601028
8,rf_native,soft,0.8592865467865468,0.9243632501780604,0.8976481851481851,0.9469498044828963,0.8494363969363969,0.8954558208192074,0.8421574259074259,0.8817946686180952,0.012774309024308978
9,rf_native,soft,0.8663752913752915,0.9300215622705633,0.8978459040959041,0.946944023862418,0.8152564102564103,0.8776355435897768,0.8421682484182483,0.8832132214688407,0.02691183816183811
10,rf_native,soft,0.8735368797868798,0.9369207840111935,0.9064206626706627,0.953949663910016,0.8178379953379954,0.881141826372096,0.8441983016983018,0.8868773883251281,0.026360306360306302
11,rf_native,soft,0.881143856143856,0.9418817181195428,0.9064102564102564,0.9546489443373808,0.7075141525141525,0.8423202713245795,0.8444992507492507,0.8901669099506887,0.1369850982350982
12,rf_native,soft,0.8856476856476857,0.9454649943379962,0.9070658508158509,0.9558457526489494,0.7214922577422578,0.8422506313408537,0.8431988844488845,0.8853789179102615,0.12170662670662667
13,rf_native,soft,0.885716366966367,0.9455442425331911,0.9070075757575758,0.9558674415411429,0.7248168498168498,0.8432742015934448,0.8432867132867132,0.8851978732639321,0.11846986346986343
14,rf_native,soft,0.9003434065934067,0.9552758269244906,0.9074654512154511,0.9565586230702364,0.6972498334998335,0.8201543617887275,0.8417923742923743,0.8863420931590887,0.14454254079254078
15,rf_native,soft,0.9001123876123877,0.9551026650879922,0.9077068764568764,0.9568467382184913,0.698952713952714,0.8227528755377157,0.8420487845487846,0.8867491656071201,0.14309607059607057
16,rf_native,soft,0.904647435897436,0.9581007087110359,0.9084228271728273,0.9574831408185555,0.6947660672660673,0.8295136459236735,0.843188061938062,0.8899775320417178,0.14842199467199466
17,rf_native,soft,0.9042624042624042,0.9579117971397567,0.9083749583749583,0.957824201065335,0.662807609057609,0.8099213994463744,0.8439085914085914,0.8908623941617823,0.1811009823509823
18,rf_native,soft,0.9039065101565101,0.957627132378943,0.9088182650682649,0.9582086552100914,0.6609032634032634,0.807366279283487,0.8451848151848153,0.8915377770539484,0.18428155178155173
19,rf_native,soft,0.9039460539460539,0.9576050526022429,0.9087246087246088,0.9586652847236014,0.6669934232434233,0.8229172330333668,0.8466941391941392,0.8931575465826215,0.1797007159507159
20,rf_native,soft,0.9045267232767232,0.9577892460103999,0.9097360972360972,0.9599066975315727,0.6851411088911089,0.8362511022735174,0.8476053113553114,0.8962951331469063,0.1624642024642024
21,rf_native,soft,0.9040667665667664,0.9576770694340624,0.9096570096570096,0.959831530752797,0.6952772227772228,0.8401167128326219,0.847036297036297,0.8966303806291943,0.15175907425907423
22,rf_native,soft,0.9044642857142856,0.9577755141129266,0.9102355977355977,0.9603298877071978,0.6842907092907092,0.8357116132078045,0.8481131368631368,0.8971447248846726,0.16382242757242754
23,rf_native,soft,0.9041271228771229,0.9575839131314905,0.9102147852147852,0.9602026724732143,0.6817291042291043,0.8338726165401366,0.8477097902097902,0.8965544857032745,0.16598068598068594
24,rf_native,soft,0.9037774725274725,0.9575585773700159,0.9109744422244422,0.9604908021756797,0.6831031468531469,0.8367541266384299,0.8482800532800533,0.8973847448547124,0.16517690642690638
25,rf_native,soft,0.9040438727938728,0.9575326360494317,0.9106872294372295,0.9608133281553611,0.6835893273393273,0.8377074386860226,0.8483175158175159,0.8973850538613899,0.16472818847818846
26,rf_native,soft,0.9037795537795539,0.9575711230993448,0.9119359806859806,0.9621731514198423,0.6822394272394273,0.8386927244625172,0.8462042124542125,0.8955549312492369,0.1639647852147852
27,rf_native,soft,0.9037962037962037,0.9575837577133157,0.9117195304695306,0.9621681187818175,0.6829033466533466,0.839119299469262,0.8461505161505162,0.8954930379310998,0.16324716949716944
28,rf_native,soft,0.9040272227772227,0.9575205924403601,0.9119484681984682,0.96215515929708,0.6806938894438894,0.8389999647788109,0.8463540626040627,0.8955977026428449,0.16566017316017312
29,rf_native,soft,0.9034652847152848,0.9576033596357023,0.9121087246087246,0.9622454666129742,0.6824113386613386,0.8396758127611649,0.8461138861138862,0.8952500175898028,0.16370254745254742
30,rf_native,soft,0.9039897602397602,0.9575904937137455,0.9122377622377623,0.9622108125183174,0.6818593906093907,0.8403775303742211,0.8464518814518814,0.8954385417903774,0.1645924908424908
31,rf_native,soft,0.9040480352980355,0.9575973165196442,0.9118777056277056,0.9622199026622728,0.6790984015984017,0.8392032359498643,0.8462749750249751,0.8952466999367599,0.1671765734265734
32,rf_native,soft,0.9040521978021978,0.9576088886762588,0.9120192307692307,0.9622192570790847,0.6806543456543457,0.839084604040648,0.8462475024975026,0.8952697781738741,0.16559315684315679
33,rf_native,soft,0.9039294039294039,0.9576355405541844,0.911865218115218,0.9622231524095285,0.6802281052281053,0.8391533205805183,0.8462204462204461,0.8952290609823077,0.16599234099234098
1,rf_native,strict,,,,,,,,,
2,rf_native,strict,,,,,,,,,
3,rf_native,strict,,,,,,,,,
4,rf_native,strict,,,,,,,,,
5,rf_native,strict,0.8058025308025307,0.8654880043366556,0.8667291042291042,0.9168826220399647,0.8420700133200133,0.9166046968349666,0.7846794871794872,0.8561303685491998,0.05739052614052611
6,rf_native,strict,0.8058025308025307,0.8654880043366556,0.8667291042291042,0.9168826220399647,0.8420700133200133,0.9166046968349666,0.7846794871794872,0.8561303685491998,0.05739052614052611
7,rf_native,strict,0.8058025308025307,0.8654880043366556,0.8667291042291042,0.9168826220399647,0.8420700133200133,0.9166046968349666,0.7846794871794872,0.8561303685491998,0.05739052614052611
8,rf_native,strict,0.8528138528138528,0.9043904896302499,0.8965367965367966,0.9453950228925255,0.845653096903097,0.8997227012290074,0.8437787212787212,0.887047435622985,0.011918498168498113
9,rf_native,strict,0.8528138528138528,0.9043904896302499,0.8965367965367966,0.9453950228925255,0.845653096903097,0.8997227012290074,0.8437787212787212,0.887047435622985,0.011918498168498113
10,rf_native,strict,0.8528138528138528,0.9043904896302499,0.8965367965367966,0.9453950228925255,0.845653096903097,0.8997227012290074,0.8437787212787212,0.887047435622985,0.011918498168498113
11,rf_native,strict,0.8581376956376957,0.9206372506946933,0.8967678155178155,0.9456604807738049,0.8507517482517483,0.8999355732720492,0.8442199467199467,0.8854586770621985,0.012936230436230392
12,rf_native,strict,0.8581376956376957,0.9206372506946933,0.8967678155178155,0.9456604807738049,0.8507517482517483,0.8999355732720492,0.8442199467199467,0.8854586770621985,0.012936230436230392
13,rf_native,strict,0.8657946220446221,0.9316736579895296,0.9055631868131867,0.9531414571733627,0.8549546287046287,0.8957600768570423,0.8459099234099234,0.886905401104889,0.010635614385614339
14,rf_native,strict,0.8660714285714285,0.931991754811123,0.9065288877788878,0.9539396682862592,0.8566595904095905,0.8969538675610105,0.8445475357975357,0.8854098172057712,0.01337329337329332
15,rf_native,strict,0.8660714285714285,0.931991754811123,0.9065288877788878,0.9539396682862592,0.8566595904095905,0.8969538675610105,0.8445475357975357,0.8854098172057712,0.01337329337329332
16,rf_native,strict,0.8748418248418247,0.9393782057727488,0.9073697136197136,0.955386006975043,0.8456306193806192,0.8864282847522108,0.8428812853812854,0.8793423628693983,0.007263153513153448
17,rf_native,strict,0.8815954878454879,0.9434383907176739,0.9074508824508825,0.9553215442981927,0.8150203962703962,0.873156509636717,0.8428904428904428,0.8804602028424456,0.02787004662004658
18,rf_native,strict,0.8836892274392274,0.9461965378111731,0.9075341325341325,0.955938729622858,0.8027643190143191,0.8681957268297803,0.8429582917082917,0.8799890002812706,0.04019397269397266
19,rf_native,strict,0.8836892274392274,0.9461965378111731,0.9075341325341325,0.955938729622858,0.8027643190143191,0.8681957268297803,0.8429582917082917,0.8799890002812706,0.04019397269397266
20,rf_native,strict,0.8838952713952715,0.9474583104000561,0.9087037962037963,0.9585208617348352,0.8044451381951383,0.8678960783638606,0.8445566933066933,0.8893496672325343,0.04011155511155506
21,rf_native,strict,0.8838952713952715,0.9474583104000561,0.9087037962037963,0.9585208617348352,0.8044451381951383,0.8678960783638606,0.8445566933066933,0.8893496672325343,0.04011155511155506
22,rf_native,strict,0.883735014985015,0.9475441038315663,0.909544622044622,0.9593759995623756,0.7965854978354979,0.8702568711050854,0.8458225108225109,0.8898755733319295,0.04923701298701294
23,rf_native,strict,0.8952797202797202,0.9539990978052916,0.9100129037629037,0.9600012843051055,0.6802634865134864,0.8243913175984855,0.8476615051615052,0.8946296272408909,0.16739801864801862
24,rf_native,strict,0.904293623043623,0.9576642513330825,0.9101252913752914,0.9602710855785905,0.6756560106560107,0.8311056296766837,0.8477880452880453,0.8962925615634781,0.1721320346320346
25,rf_native,strict,0.9040438727938728,0.9575326360494317,0.9106872294372295,0.9608133281553611,0.6835893273393273,0.8377074386860226,0.8483175158175159,0.8973850538613899,0.16472818847818846
26,rf_native,strict,0.9040438727938728,0.9575326360494317,0.9106872294372295,0.9608133281553611,0.6835893273393273,0.8377074386860226,0.8483175158175159,0.8973850538613899,0.16472818847818846
27,rf_native,strict,0.9040438727938728,0.9575326360494317,0.9106872294372295,0.9608133281553611,0.6835893273393273,0.8377074386860226,0.8483175158175159,0.8973850538613899,0.16472818847818846
28,rf_native,strict,0.9037962037962037,0.9575837577133157,0.9117195304695306,0.9621681187818175,0.6829033466533466,0.839119299469262,0.8461505161505162,0.8954930379310998,0.16324716949716944
29,rf_native,strict,0.9040272227772227,0.9575205924403601,0.9119484681984682,0.96215515929708,0.6806938894438894,0.8389999647788109,0.8463540626040627,0.8955977026428449,0.16566017316017312
30,rf_native,strict,0.9034652847152848,0.9576033596357023,0.9121087246087246,0.9622454666129742,0.6824113386613386,0.8396758127611649,0.8461138861138862,0.8952500175898028,0.16370254745254742
31,rf_native,strict,0.9040480352980355,0.9575973165196442,0.9118777056277056,0.9622199026622728,0.6790984015984017,0.8392032359498643,0.8462749750249751,0.8952466999367599,0.1671765734265734
32,rf_native,strict,0.9040521978021978,0.9576088886762588,0.9120192307692307,0.9622192570790847,0.6806543456543457,0.839084604040648,0.8462475024975026,0.8952697781738741,0.16559315684315679
33,rf_native,strict,0.9039294039294039,0.9576355405541844,0.911865218115218,0.9622231524095285,0.6802281052281053,0.8391533205805183,0.8462204462204461,0.8952290609823077,0.16599234099234098
1,xgb_gain,soft,0.7962995337995338,0.862167037092112,0.8651161338661338,0.9196570953189335,0.8201219613719614,0.919845009781261,0.7602131202131202,0.8487602575371681,0.05990884115884112
2,xgb_gain,soft,0.8095820845820846,0.8926092212399656,0.8648955211455212,0.9214688923089897,0.7801431901431902,0.9134542903400296,0.7580007492507493,0.8093035538387686,0.02259032634032629
3,xgb_gain,soft,0.8138444888444889,0.8965875538256283,0.8704129204129204,0.9238689606056614,0.8099442224442225,0.9155039164756323,0.778979353979354,0.8238689777588379,0.03096486846486841
4,xgb_gain,soft,0.8546578421578421,0.9256817166142216,0.8761842324342325,0.9339574968820723,0.8184478021978022,0.8701444872144174,0.8168756243756244,0.8511613193042389,0.015260156510156457
5,xgb_gain,soft,0.8545600233100233,0.9257252628116138,0.8758720446220446,0.9343762594589893,0.8168985181485181,0.8699748740894471,0.8181202131202131,0.8527446789391094,0.014136280386280328
6,xgb_gain,soft,0.8624729437229437,0.9319430564232637,0.8767815517815518,0.9350723364006956,0.7761097236097236,0.8431462658428818,0.817972027972028,0.8585609790018506,0.041945554445554395
7,xgb_gain,soft,0.8690101565101566,0.9353613279203313,0.8981705794205794,0.9470407111203816,0.8036055611055611,0.8692925335986025,0.8391133866133865,0.8773280183020443,0.035507825507825476
8,xgb_gain,soft,0.8688811188811189,0.9353640214888342,0.8981601731601732,0.9470428495497177,0.8059885947385949,0.8710898278378298,0.83885989010989,0.8769958170991513,0.03287129537129533
9,xgb_gain,soft,0.8794517982017981,0.9441383068521555,0.8989885114885116,0.9480462828255661,0.8008895271395272,0.8702164276366324,0.8382883782883783,0.8802884824757328,0.037398851148851116
10,xgb_gain,soft,0.8913461538461539,0.948537983827694,0.8989510489510489,0.9490584808548096,0.6679166666666667,0.8021340903518727,0.8407238594738594,0.8878603731849237,0.17280719280719278
11,xgb_gain,soft,0.8982954545454546,0.952827282711461,0.8999438061938062,0.9505240861993484,0.6587108724608725,0.8180663910681393,0.8404570429570429,0.8892884235519726,0.18174617049617048
12,xgb_gain,soft,0.9021957209457209,0.9565957555389998,0.9080440392940393,0.9568276711633356,0.6734182484182485,0.8289328761273692,0.8408087745587746,0.8917376758065444,0.1673905261405261
13,xgb_gain,soft,0.9017649017649018,0.9565383053925762,0.9095425407925409,0.9586492823693123,0.6609894272394272,0.8260298547190406,0.8471803196803197,0.8978859247229627,0.18619089244089237
14,xgb_gain,soft,0.902568265068265,0.9568556048513591,0.909750666000666,0.959176761778847,0.6844209956709957,0.8382414100842549,0.8489339826839828,0.9003606209807508,0.16451298701298697
15,xgb_gain,soft,0.9024787712287713,0.9568968431668233,0.9106705794205795,0.9597675961858654,0.6995142357642358,0.8518642024600441,0.8502967865467865,0.9016556472165863,0.15078255078255073
16,xgb_gain,soft,0.9027680652680653,0.9569657875008774,0.9105498667998667,0.959610402397303,0.6988190975690977,0.8548304267119827,0.8501431901431902,0.9016086195065341,0.15132409257409252
17,xgb_gain,soft,0.90259324009324,0.9568128310667022,0.9105831668331668,0.959626054410957,0.6987612387612389,0.8552515230357388,0.850259324009324,0.9014600428916738,0.15149808524808522
18,xgb_gain,soft,0.9025953213453213,0.9569296738268392,0.9119318181818182,0.9615342340601455,0.684995004995005,0.8539803173225377,0.8478533966033965,0.8986047718931086,0.16285839160839158
19,xgb_gain,soft,0.9041958041958043,0.9580499581795161,0.9121753246753247,0.9622257160297245,0.6967357642357642,0.851117532858417,0.8469630369630371,0.8965118037348931,0.15022727272727268
20,xgb_gain,soft,0.9040417915417915,0.9580582998212245,0.9121690809190809,0.9621302643202618,0.6982484182484182,0.8516469007807045,0.8471782384282385,0.8964612237787187,0.14892982017982015
21,xgb_gain,soft,0.9045558608058607,0.9581664360448077,0.9122897935397937,0.9621616504748998,0.7027722277722278,0.8520326182309198,0.8469438894438895,0.896304844610102,0.14417166167166162
22,xgb_gain,soft,0.9046307858807859,0.9581157234581935,0.912210705960706,0.9621132223795185,0.699722360972361,0.8504498477504846,0.8469293206793207,0.8961113205808511,0.14720695970695966
23,xgb_gain,soft,0.9044871794871795,0.9581831998961744,0.9119297369297369,0.9620480798131273,0.7034811022311023,0.8493629947932521,0.8467594905094905,0.8962845244582258,0.14327838827838824
24,xgb_gain,soft,0.9044226606726605,0.9578634620873632,0.9119526307026308,0.9620381678760799,0.6999991674991675,0.8468049663456756,0.8469971694971695,0.8957095325171,0.14699800199800195
25,xgb_gain,soft,0.9042707292707292,0.9578492374259108,0.9120629370629371,0.9620752228956525,0.7033795371295372,0.8481414973429834,0.8472910422910424,0.8961712758187533,0.1439115051615051
26,xgb_gain,soft,0.9040334665334666,0.9578078317370275,0.9124105061605062,0.9624169323641727,0.6840505328005327,0.8399311864875051,0.846991341991342,0.8958915222514748,0.16294080919080914
27,xgb_gain,soft,0.9042374292374293,0.9577932582943197,0.9122918747918748,0.9623697891976488,0.6848126873126873,0.8407034119726428,0.8468535631035631,0.8960133844260967,0.16204087579087575
28,xgb_gain,soft,0.9041187978687978,0.9577886295356325,0.912194055944056,0.962357385891664,0.682234015984016,0.8400993316748187,0.8467211954711954,0.8959442292639096,0.16448717948717947
29,xgb_gain,soft,0.904285298035298,0.9577940837259643,0.9123147685647686,0.9623619190083975,0.6826219613719614,0.8404853351776428,0.8465455377955379,0.8958478399930073,0.1639235764235764
30,xgb_gain,soft,0.9042499167499168,0.9577748612526334,0.9121898934398933,0.9623445823448945,0.6838969363969364,0.8403972738051159,0.8464818514818515,0.8957349992248843,0.16258491508491504
31,xgb_gain,soft,0.9040480352980355,0.9575973165196442,0.9118777056277056,0.9622199026622728,0.6790984015984017,0.8392032359498643,0.8462749750249751,0.8952466999367599,0.1671765734265734
32,xgb_gain,soft,0.9040521978021978,0.9576088886762588,0.9120192307692307,0.9622192570790847,0.6806543456543457,0.839084604040648,0.8462475024975026,0.8952697781738741,0.16559315684315679
33,xgb_gain,soft,0.9039294039294039,0.9576355405541844,0.911865218115218,0.9622231524095285,0.6802281052281053,0.8391533205805183,0.8462204462204461,0.8952290609823077,0.16599234099234098
1,xgb_gain,strict,,,,,,,,,
2,xgb_gain,strict,,,,,,,,,
3,xgb_gain,strict,,,,,,,,,
4,xgb_gain,strict,,,,,,,,,
5,xgb_gain,strict,0.842322261072261,0.8971099278260867,0.8729541292041292,0.9273633230738625,0.8068231768231767,0.8712517713305675,0.8276843989343989,0.8670331077305976,0.024815601065601017
6,xgb_gain,strict,0.842322261072261,0.8971099278260867,0.8729541292041292,0.9273633230738625,0.8068231768231767,0.8712517713305675,0.8276843989343989,0.8670331077305976,0.024815601065601017
7,xgb_gain,strict,0.842322261072261,0.8971099278260867,0.8729541292041292,0.9273633230738625,0.8068231768231767,0.8712517713305675,0.8276843989343989,0.8670331077305976,0.024815601065601017
8,xgb_gain,strict,0.842322261072261,0.8971099278260867,0.8729541292041292,0.9273633230738625,0.8068231768231767,0.8712517713305675,0.8276843989343989,0.8670331077305976,0.024815601065601017
9,xgb_gain,strict,0.8505889943389944,0.9016940529084635,0.8795496170496171,0.9322428638003689,0.8065064102564102,0.8674299261968468,0.8323780386280387,0.8770216076381162,0.025986513486513426
10,xgb_gain,strict,0.8505889943389944,0.9016940529084635,0.8795496170496171,0.9322428638003689,0.8065064102564102,0.8674299261968468,0.8323780386280387,0.8770216076381162,0.025986513486513426
11,xgb_gain,strict,0.8505889943389944,0.9016940529084635,0.8795496170496171,0.9322428638003689,0.8065064102564102,0.8674299261968468,0.8323780386280387,0.8770216076381162,0.025986513486513426
12,xgb_gain,strict,0.8505889943389944,0.9016940529084635,0.8795496170496171,0.9322428638003689,0.8065064102564102,0.8674299261968468,0.8323780386280387,0.8770216076381162,0.025986513486513426
13,xgb_gain,strict,0.8609515484515485,0.9292298756022532,0.8910506160506161,0.9428927497327847,0.8017557442557443,0.8676057323254501,0.8389339826839827,0.8771247437627308,0.037178238428238385
14,xgb_gain,strict,0.8619900932400931,0.929432471769822,0.8987325174825175,0.9486456813457939,0.8234686147186148,0.8789522618573568,0.8437142024642025,0.885307765307453,0.02154012654012648
15,xgb_gain,strict,0.8619900932400931,0.929432471769822,0.8987325174825175,0.9486456813457939,0.8234686147186148,0.8789522618573568,0.8437142024642025,0.885307765307453,0.02154012654012648
16,xgb_gain,strict,0.8778533966033967,0.9399341672521618,0.8988823676323676,0.9489608117074401,0.7192307692307692,0.8557964949219944,0.8446665834165833,0.8885308591050974,0.12543581418581415
17,xgb_gain,strict,0.8827464202464202,0.9453904809393071,0.9071241258741258,0.9554820148632586,0.7227397602397603,0.8622429828122261,0.8464360639360639,0.8910761382723171,0.12369630369630365
18,xgb_gain,strict,0.8827464202464202,0.9453904809393071,0.9071241258741258,0.9554820148632586,0.7227397602397603,0.8622429828122261,0.8464360639360639,0.8910761382723171,0.12369630369630365
19,xgb_gain,strict,0.8827464202464202,0.9453904809393071,0.9071241258741258,0.9554820148632586,0.7227397602397603,0.8622429828122261,0.8464360639360639,0.8910761382723171,0.12369630369630365
20,xgb_gain,strict,0.886451048951049,0.947970080618682,0.9078796203796204,0.9574886054047518,0.7276003163503164,0.858272584620674,0.8456043956043956,0.8884728039817326,0.11800407925407923
21,xgb_gain,strict,0.8943140193140193,0.9538261839101624,0.9081772394272395,0.958280603948998,0.7123168498168498,0.8492347603902924,0.8466375291375291,0.8924095459152902,0.1343206793206793
22,xgb_gain,strict,0.9042582417582418,0.9579695040640345,0.9086871461871461,0.9589438668640716,0.7160930735930736,0.855313874063,0.847401764901765,0.894929404158113,0.13130869130869127
23,xgb_gain,strict,0.904664085914086,0.9580312378264426,0.9087724775224775,0.9589206227505428,0.7197527472527473,0.8553811367204224,0.8474995837495838,0.8947544103623649,0.12774683649683646
24,xgb_gain,strict,0.9045662670662672,0.9580566671506981,0.9090492840492841,0.9589884999491018,0.7204507992007992,0.8566204497300901,0.847561605061605,0.8948006473213767,0.1271108058608058
25,xgb_gain,strict,0.9041520979020979,0.9580840924809456,0.9114073426573427,0.9613158881577962,0.717578255078255,0.8594982931030009,0.846446053946054,0.8928174819685809,0.12886779886779884
26,xgb_gain,strict,0.9041021478521478,0.9580667578966154,0.9114801864801865,0.961439386870206,0.7144005994005994,0.8581612471985225,0.8466013153513154,0.892930154656366,0.13220071595071592
27,xgb_gain,strict,0.9042332667332668,0.9580046088194191,0.9115738428238428,0.9615141310570882,0.7073692973692974,0.8541877894624523,0.8459515484515485,0.8936067407866858,0.13858225108225106
28,xgb_gain,strict,0.9038523976023977,0.9577004034718196,0.912029637029637,0.9621260134512507,0.7019505494505495,0.8483005219680418,0.8469938394938396,0.8962937333021624,0.14504329004329
29,xgb_gain,strict,0.9041250416250417,0.9577875187375061,0.9121274558774558,0.962029957742058,0.7032800532800533,0.8492636298308751,0.8470175657675658,0.895999973760838,0.14373751248751246
30,xgb_gain,strict,0.9040667665667667,0.9577457003328007,0.912194055944056,0.9623594962521661,0.6825990675990675,0.8417748251374001,0.846773643023643,0.8959006301931502,0.1641745754245754
31,xgb_gain,strict,0.9039897602397602,0.9575904937137455,0.9122377622377623,0.9622108125183174,0.6818593906093907,0.8403775303742211,0.8464518814518814,0.8954385417903774,0.1645924908424908
32,xgb_gain,strict,0.9040168165168166,0.9575561769648931,0.9121649184149184,0.9622016766325583,0.6822365134865134,0.8402649639945469,0.8465397102897102,0.8953681881513424,0.1643031968031968
33,xgb_gain,strict,0.9039294039294039,0.9576355405541844,0.911865218115218,0.9622231524095285,0.6802281052281053,0.8391533205805183,0.8462204462204461,0.8952290609823077,0.16599234099234098
1,catboost_pvc,soft,0.7682359307359308,0.8222146141820218,0.8186334498834499,0.8751368262107523,0.8015180652680652,0.8659507731279709,0.7495288045288045,0.8239893863420962,0.0519892607392607
2,catboost_pvc,soft,0.8472132034632035,0.8973986558105564,0.8605498667998668,0.9112778190216376,0.8200670163170164,0.8912041115935346,0.795982350982351,0.8921441377678265,0.024305278055278018
