method,K,threshold,n_features_passing
rf_native,1,0.6,0
rf_native,1,0.7,0
rf_native,1,0.8,0
rf_native,1,0.9,0
rf_native,2,0.6,0
rf_native,2,0.7,0
rf_native,2,0.8,0
rf_native,2,0.9,0
rf_native,3,0.6,0
rf_native,3,0.7,0
rf_native,3,0.8,0
rf_native,3,0.9,0
rf_native,4,0.6,1
rf_native,4,0.7,0
rf_native,4,0.8,0
rf_native,4,0.9,0
rf_native,5,0.6,2
rf_native,5,0.7,2
rf_native,5,0.8,2
rf_native,5,0.9,1
rf_native,6,0.6,3
rf_native,6,0.7,2
rf_native,6,0.8,2
rf_native,6,0.9,2
rf_native,7,0.6,5
rf_native,7,0.7,4
rf_native,7,0.8,2
rf_native,7,0.9,2
rf_native,8,0.6,5
rf_native,8,0.7,5
rf_native,8,0.8,5
rf_native,8,0.9,4
rf_native,9,0.6,5
rf_native,9,0.7,5
rf_native,9,0.8,5
rf_native,9,0.9,5
rf_native,10,0.6,6
rf_native,10,0.7,5
rf_native,10,0.8,5
rf_native,10,0.9,5
rf_native,11,0.6,6
rf_native,11,0.7,6
rf_native,11,0.8,6
rf_native,11,0.9,5
rf_native,12,0.6,8
rf_native,12,0.7,6
rf_native,12,0.8,6
rf_native,12,0.9,6
rf_native,13,0.6,9
rf_native,13,0.7,8
rf_native,13,0.8,8
rf_native,13,0.9,6
rf_native,14,0.6,10
rf_native,14,0.7,9
rf_native,14,0.8,9
rf_native,14,0.9,9
rf_native,15,0.6,10
rf_native,15,0.7,9
rf_native,15,0.8,9
rf_native,15,0.9,9
rf_native,16,0.6,12
rf_native,16,0.7,11
rf_native,16,0.8,10
rf_native,16,0.9,9
rf_native,17,0.6,12
rf_native,17,0.7,12
rf_native,17,0.8,12
rf_native,17,0.9,11
rf_native,18,0.6,13
rf_native,18,0.7,13
rf_native,18,0.8,13
rf_native,18,0.9,12
rf_native,19,0.6,14
rf_native,19,0.7,14
rf_native,19,0.8,13
rf_native,19,0.9,12
rf_native,20,0.6,16
rf_native,20,0.7,16
rf_native,20,0.8,16
rf_native,20,0.9,13
rf_native,21,0.6,17
rf_native,21,0.7,16
rf_native,21,0.8,16
rf_native,21,0.9,16
rf_native,22,0.6,19
rf_native,22,0.7,18
rf_native,22,0.8,18
rf_native,22,0.9,18
rf_native,23,0.6,21
rf_native,23,0.7,21
rf_native,23,0.8,21
rf_native,23,0.9,20
rf_native,24,0.6,23
rf_native,24,0.7,22
rf_native,24,0.8,22
rf_native,24,0.9,22
rf_native,25,0.6,25
rf_native,25,0.7,25
rf_native,25,0.8,25
rf_native,25,0.9,25
rf_native,26,0.6,25
rf_native,26,0.7,25
rf_native,26,0.8,25
rf_native,26,0.9,25
rf_native,27,0.6,25
rf_native,27,0.7,25
rf_native,27,0.8,25
rf_native,27,0.9,25
rf_native,28,0.6,27
rf_native,28,0.7,27
rf_native,28,0.8,27
rf_native,28,0.9,27
rf_native,29,0.6,28
rf_native,29,0.7,28
rf_native,29,0.8,28
rf_native,29,0.9,28
rf_native,30,0.6,29
rf_native,30,0.7,29
rf_native,30,0.8,29
rf_native,30,0.9,29
rf_native,31,0.6,31
rf_native,31,0.7,31
rf_native,31,0.8,31
rf_native,31,0.9,31
rf_native,32,0.6,32
rf_native,32,0.7,32
rf_native,32,0.8,32
rf_native,32,0.9,32
rf_native,33,0.6,33
rf_native,33,0.7,33
rf_native,33,0.8,33
rf_native,33,0.9,33
xgb_gain,1,0.6,0
xgb_gain,1,0.7,0
xgb_gain,1,0.8,0
xgb_gain,1,0.9,0
xgb_gain,2,0.6,0
xgb_gain,2,0.7,0
xgb_gain,2,0.8,0
xgb_gain,2,0.9,0
xgb_gain,3,0.6,0
xgb_gain,3,0.7,0
xgb_gain,3,0.8,0
xgb_gain,3,0.9,0
xgb_gain,4,0.6,0
xgb_gain,4,0.7,0
xgb_gain,4,0.8,0
xgb_gain,4,0.9,0
xgb_gain,5,0.6,3
xgb_gain,5,0.7,3
xgb_gain,5,0.8,3
xgb_gain,5,0.9,3
xgb_gain,6,0.6,3
xgb_gain,6,0.7,3
xgb_gain,6,0.8,3
xgb_gain,6,0.9,3
xgb_gain,7,0.6,3
xgb_gain,7,0.7,3
xgb_gain,7,0.8,3
xgb_gain,7,0.9,3
xgb_gain,8,0.6,3
xgb_gain,8,0.7,3
xgb_gain,8,0.8,3
xgb_gain,8,0.9,3
xgb_gain,9,0.6,4
xgb_gain,9,0.7,4
xgb_gain,9,0.8,4
xgb_gain,9,0.9,3
xgb_gain,10,0.6,4
xgb_gain,10,0.7,4
xgb_gain,10,0.8,4
xgb_gain,10,0.9,4
xgb_gain,11,0.6,4
xgb_gain,11,0.7,4
xgb_gain,11,0.8,4
xgb_gain,11,0.9,4
xgb_gain,12,0.6,5
xgb_gain,12,0.7,5
xgb_gain,12,0.8,4
xgb_gain,12,0.9,4
xgb_gain,13,0.6,6
xgb_gain,13,0.7,6
xgb_gain,13,0.8,5
xgb_gain,13,0.9,5
xgb_gain,14,0.6,6
xgb_gain,14,0.7,6
xgb_gain,14,0.8,6
xgb_gain,14,0.9,6
xgb_gain,15,0.6,7
xgb_gain,15,0.7,6
xgb_gain,15,0.8,6
xgb_gain,15,0.9,6
xgb_gain,16,0.6,7
xgb_gain,16,0.7,7
xgb_gain,16,0.8,7
xgb_gain,16,0.9,6
xgb_gain,17,0.6,8
xgb_gain,17,0.7,8
xgb_gain,17,0.8,8
xgb_gain,17,0.9,7
xgb_gain,18,0.6,9
xgb_gain,18,0.7,8
xgb_gain,18,0.8,8
xgb_gain,18,0.9,8
xgb_gain,19,0.6,10
xgb_gain,19,0.7,10
xgb_gain,19,0.8,8
xgb_gain,19,0.9,8
xgb_gain,20,0.6,10
xgb_gain,20,0.7,10
xgb_gain,20,0.8,9
xgb_gain,20,0.9,8
xgb_gain,21,0.6,14
xgb_gain,21,0.7,11
xgb_gain,21,0.8,10
xgb_gain,21,0.9,10
xgb_gain,22,0.6,15
xgb_gain,22,0.7,14
xgb_gain,22,0.8,13
xgb_gain,22,0.9,11
xgb_gain,23,0.6,15
xgb_gain,23,0.7,15
xgb_gain,23,0.8,14
xgb_gain,23,0.9,13
xgb_gain,24,0.6,17
xgb_gain,24,0.7,16
xgb_gain,24,0.8,15
xgb_gain,24,0.9,14
xgb_gain,25,0.6,18
xgb_gain,25,0.7,18
xgb_gain,25,0.8,18
xgb_gain,25,0.9,15
xgb_gain,26,0.6,21
xgb_gain,26,0.7,21
xgb_gain,26,0.8,19
xgb_gain,26,0.9,18
xgb_gain,27,0.6,24
xgb_gain,27,0.7,23
xgb_gain,27,0.8,22
xgb_gain,27,0.9,21
xgb_gain,28,0.6,25
xgb_gain,28,0.7,25
xgb_gain,28,0.8,24
xgb_gain,28,0.9,23
xgb_gain,29,0.6,26
xgb_gain,29,0.7,25
xgb_gain,29,0.8,25
xgb_gain,29,0.9,25
xgb_gain,30,0.6,29
xgb_gain,30,0.7,29
xgb_gain,30,0.8,29
xgb_gain,30,0.9,29
xgb_gain,31,0.6,30
xgb_gain,31,0.7,30
xgb_gain,31,0.8,30
xgb_gain,31,0.9,30
xgb_gain,32,0.6,31
xgb_gain,32,0.7,31
xgb_gain,32,0.8,31
xgb_gain,32,0.9,31
xgb_gain,33,0.6,33
xgb_gain,33,0.7,33
xgb_gain,33,0.8,33
xgb_gain,33,0.9,33
catboost_pvc,1,0.6,0
catboost_pvc,1,0.7,0
catboost_pvc,1,0.8,0
catboost_pvc,1,0.9,0
catboost_pvc,2,0.6,1
catboost_pvc,2,0.7,1
catboost_pvc,2,0.8,1
catboost_pvc,2,0.9,1
catboost_pvc,3,0.6,1
catboost_pvc,3,0.7,1
catboost_pvc,3,0.8,1
catboost_pvc,3,0.9,1
catboost_pvc,4,0.6,1
catboost_pvc,4,0.7,1
catboost_pvc,4,0.8,1
catboost_pvc,4,0.9,1
catboost_pvc,5,0.6,3
catboost_pvc,5,0.7,3
catboost_pvc,5,0.8,3
catboost_pvc,5,0.9,3
catboost_pvc,6,0.6,3
catboost_pvc,6,0.7,3
catboost_pvc,6,0.8,3
catboost_pvc,6,0.9,3
catboost_pvc,7,0.6,4
catboost_pvc,7,0.7,3
catboost_pvc,7,0.8,3
catboost_pvc,7,0.9,3
catboost_pvc,8,0.6,4
catboost_pvc,8,0.7,4
catboost_pvc,8,0.8,3
catboost_pvc,8,0.9,3
catboost_pvc,9,0.6,4
catboost_pvc,9,0.7,4
catboost_pvc,9,0.8,4
catboost_pvc,9,0.9,4
catboost_pvc,10,0.6,5
catboost_pvc,10,0.7,5
catboost_pvc,10,0.8,5
catboost_pvc,10,0.9,4
catboost_pvc,11,0.6,5
catboost_pvc,11,0.7,5
catboost_pvc,11,0.8,5
catboost_pvc,11,0.9,5
catboost_pvc,12,0.6,6
catboost_pvc,12,0.7,6
catboost_pvc,12,0.8,5
catboost_pvc,12,0.9,5
catboost_pvc,13,0.6,6
catboost_pvc,13,0.7,6
catboost_pvc,13,0.8,6
catboost_pvc,13,0.9,5
catboost_pvc,14,0.6,9
catboost_pvc,14,0.7,8
catboost_pvc,14,0.8,6
catboost_pvc,14,0.9,6
catboost_pvc,15,0.6,9
catboost_pvc,15,0.7,9
catboost_pvc,15,0.8,9
catboost_pvc,15,0.9,6
catboost_pvc,16,0.6,10
catboost_pvc,16,0.7,9
catboost_pvc,16,0.8,9
catboost_pvc,16,0.9,8
catboost_pvc,17,0.6,10
catboost_pvc,17,0.7,10
catboost_pvc,17,0.8,10
catboost_pvc,17,0.9,10
catboost_pvc,18,0.6,10
catboost_pvc,18,0.7,10
catboost_pvc,18,0.8,10
catboost_pvc,18,0.9,10
catboost_pvc,19,0.6,11
catboost_pvc,19,0.7,11
catboost_pvc,19,0.8,11
catboost_pvc,19,0.9,10
catboost_pvc,20,0.6,13
catboost_pvc,20,0.7,12
catboost_pvc,20,0.8,11
catboost_pvc,20,0.9,11
catboost_pvc,21,0.6,14
catboost_pvc,21,0.7,14
catboost_pvc,21,0.8,13
catboost_pvc,21,0.9,13
catboost_pvc,22,0.6,15
catboost_pvc,22,0.7,14
catboost_pvc,22,0.8,14
catboost_pvc,22,0.9,14
catboost_pvc,23,0.6,17
catboost_pvc,23,0.7,17
catboost_pvc,23,0.8,15
catboost_pvc,23,0.9,15
catboost_pvc,24,0.6,21
catboost_pvc,24,0.7,19
catboost_pvc,24,0.8,19
catboost_pvc,24,0.9,16
catboost_pvc,25,0.6,22
catboost_pvc,25,0.7,21
catboost_pvc,25,0.8,21
catboost_pvc,25,0.9,19
catboost_pvc,26,0.6,23
catboost_pvc,26,0.7,23
catboost_pvc,26,0.8,23
catboost_pvc,26,0.9,23
catboost_pvc,27,0.6,24
catboost_pvc,27,0.7,24
catboost_pvc,27,0.8,24
catboost_pvc,27,0.9,23
catboost_pvc,28,0.6,25
catboost_pvc,28,0.7,24
catboost_pvc,28,0.8,24
catboost_pvc,28,0.9,24
catboost_pvc,29,0.6,25
catboost_pvc,29,0.7,25
catboost_pvc,29,0.8,25
catboost_pvc,29,0.9,25
catboost_pvc,30,0.6,30
catboost_pvc,30,0.7,29
catboost_pvc,30,0.8,28
catboost_pvc,30,0.9,27
catboost_pvc,31,0.6,31
catboost_pvc,31,0.7,30
catboost_pvc,31,0.8,30
catboost_pvc,31,0.9,30
catboost_pvc,32,0.6,32
catboost_pvc,32,0.7,31
catboost_pvc,32,0.8,31
catboost_pvc,32,0.9,31
catboost_pvc,33,0.6,33
catboost_pvc,33,0.7,33
catboost_pvc,33,0.8,33
catboost_pvc,33,0.9,33
perm_rf,1,0.6,0
perm_rf,1,0.7,0
perm_rf,1,0.8,0
perm_rf,1,0.9,0
perm_rf,2,0.6,0
perm_rf,2,0.7,0
perm_rf,2,0.8,0
perm_rf,2,0.9,0
perm_rf,3,0.6,1
perm_rf,3,0.7,1
perm_rf,3,0.8,1
perm_rf,3,0.9,1
perm_rf,4,0.6,2
perm_rf,4,0.7,1
perm_rf,4,0.8,1
perm_rf,4,0.9,1
perm_rf,5,0.6,2
perm_rf,5,0.7,2
perm_rf,5,0.8,2
perm_rf,5,0.9,2
perm_rf,6,0.6,3
perm_rf,6,0.7,3
perm_rf,6,0.8,3
perm_rf,6,0.9,3
perm_rf,7,0.6,3
perm_rf,7,0.7,3
perm_rf,7,0.8,3
perm_rf,7,0.9,3
perm_rf,8,0.6,3
perm_rf,8,0.7,3
perm_rf,8,0.8,3
perm_rf,8,0.9,3
perm_rf,9,0.6,3
perm_rf,9,0.7,3
perm_rf,9,0.8,3
perm_rf,9,0.9,3
perm_rf,10,0.6,3
perm_rf,10,0.7,3
perm_rf,10,0.8,3
perm_rf,10,0.9,3
perm_rf,11,0.6,4
perm_rf,11,0.7,3
perm_rf,11,0.8,3
perm_rf,11,0.9,3
perm_rf,12,0.6,5
perm_rf,12,0.7,5
perm_rf,12,0.8,4
perm_rf,12,0.9,3
perm_rf,13,0.6,6
perm_rf,13,0.7,5
perm_rf,13,0.8,4
perm_rf,13,0.9,3
perm_rf,14,0.6,7
perm_rf,14,0.7,6
perm_rf,14,0.8,5
perm_rf,14,0.9,3
perm_rf,15,0.6,7
perm_rf,15,0.7,6
perm_rf,15,0.8,6
perm_rf,15,0.9,3
perm_rf,16,0.6,8
perm_rf,16,0.7,7
perm_rf,16,0.8,6
perm_rf,16,0.9,4
perm_rf,17,0.6,8
perm_rf,17,0.7,7
perm_rf,17,0.8,7
perm_rf,17,0.9,4
perm_rf,18,0.6,8
perm_rf,18,0.7,7
perm_rf,18,0.8,7
perm_rf,18,0.9,5
perm_rf,19,0.6,9
perm_rf,19,0.7,7
perm_rf,19,0.8,7
perm_rf,19,0.9,6
perm_rf,20,0.6,9
perm_rf,20,0.7,8
perm_rf,20,0.8,7
perm_rf,20,0.9,6
perm_rf,21,0.6,11
perm_rf,21,0.7,9
perm_rf,21,0.8,7
perm_rf,21,0.9,6
perm_rf,22,0.6,11
perm_rf,22,0.7,9
perm_rf,22,0.8,8
perm_rf,22,0.9,6
perm_rf,23,0.6,14
perm_rf,23,0.7,10
perm_rf,23,0.8,8
perm_rf,23,0.9,7
perm_rf,24,0.6,14
perm_rf,24,0.7,11
perm_rf,24,0.8,9
perm_rf,24,0.9,7
perm_rf,25,0.6,17
perm_rf,25,0.7,13
perm_rf,25,0.8,10
perm_rf,25,0.9,7
perm_rf,26,0.6,19
perm_rf,26,0.7,14
perm_rf,26,0.8,12
perm_rf,26,0.9,8
perm_rf,27,0.6,24
perm_rf,27,0.7,15
perm_rf,27,0.8,14
perm_rf,27,0.9,11
perm_rf,28,0.6,27
perm_rf,28,0.7,24
perm_rf,28,0.8,15
perm_rf,28,0.9,12
perm_rf,29,0.6,27
perm_rf,29,0.7,26
perm_rf,29,0.8,24
perm_rf,29,0.9,14
perm_rf,30,0.6,29
perm_rf,30,0.7,27
perm_rf,30,0.8,26
perm_rf,30,0.9,19
perm_rf,31,0.6,30
perm_rf,31,0.7,29
perm_rf,31,0.8,28
perm_rf,31,0.9,24
perm_rf,32,0.6,32
perm_rf,32,0.7,31
perm_rf,32,0.8,31
perm_rf,32,0.9,28
perm_rf,33,0.6,33
perm_rf,33,0.7,33
perm_rf,33,0.8,33
perm_rf,33,0.9,33
perm_xgb,1,0.6,0
perm_xgb,1,0.7,0
perm_xgb,1,0.8,0
perm_xgb,1,0.9,0
perm_xgb,2,0.6,0
perm_xgb,2,0.7,0
perm_xgb,2,0.8,0
perm_xgb,2,0.9,0
perm_xgb,3,0.6,2
perm_xgb,3,0.7,1
perm_xgb,3,0.8,1
perm_xgb,3,0.9,1
perm_xgb,4,0.6,3
perm_xgb,4,0.7,3
perm_xgb,4,0.8,3
perm_xgb,4,0.9,3
perm_xgb,5,0.6,3
perm_xgb,5,0.7,3
perm_xgb,5,0.8,3
perm_xgb,5,0.9,3
perm_xgb,6,0.6,3
perm_xgb,6,0.7,3
perm_xgb,6,0.8,3
perm_xgb,6,0.9,3
perm_xgb,7,0.6,3
perm_xgb,7,0.7,3
perm_xgb,7,0.8,3
perm_xgb,7,0.9,3
perm_xgb,8,0.6,3
perm_xgb,8,0.7,3
perm_xgb,8,0.8,3
perm_xgb,8,0.9,3
perm_xgb,9,0.6,6
perm_xgb,9,0.7,6
perm_xgb,9,0.8,6
perm_xgb,9,0.9,5
perm_xgb,10,0.6,6
perm_xgb,10,0.7,6
perm_xgb,10,0.8,6
perm_xgb,10,0.9,6
perm_xgb,11,0.6,6
perm_xgb,11,0.7,6
perm_xgb,11,0.8,6
perm_xgb,11,0.9,6
perm_xgb,12,0.6,7
perm_xgb,12,0.7,6
perm_xgb,12,0.8,6
perm_xgb,12,0.9,6
perm_xgb,13,0.6,7
perm_xgb,13,0.7,7
perm_xgb,13,0.8,7
perm_xgb,13,0.9,6
perm_xgb,14,0.6,11
perm_xgb,14,0.7,11
perm_xgb,14,0.8,8
perm_xgb,14,0.9,7
perm_xgb,15,0.6,11
perm_xgb,15,0.7,11
perm_xgb,15,0.8,11
perm_xgb,15,0.9,10
perm_xgb,16,0.6,11
perm_xgb,16,0.7,11
perm_xgb,16,0.8,11
perm_xgb,16,0.9,10
perm_xgb,17,0.6,13
perm_xgb,17,0.7,12
perm_xgb,17,0.8,11
perm_xgb,17,0.9,11
perm_xgb,18,0.6,13
perm_xgb,18,0.7,13
perm_xgb,18,0.8,13
perm_xgb,18,0.9,12
perm_xgb,19,0.6,14
perm_xgb,19,0.7,14
perm_xgb,19,0.8,14
perm_xgb,19,0.9,13
perm_xgb,20,0.6,15
perm_xgb,20,0.7,15
perm_xgb,20,0.8,15
perm_xgb,20,0.9,14
perm_xgb,21,0.6,15
perm_xgb,21,0.7,15
perm_xgb,21,0.8,15
perm_xgb,21,0.9,15
perm_xgb,22,0.6,18
perm_xgb,22,0.7,15
perm_xgb,22,0.8,15
perm_xgb,22,0.9,15
perm_xgb,23,0.6,18
perm_xgb,23,0.7,16
perm_xgb,23,0.8,15
perm_xgb,23,0.9,15
perm_xgb,24,0.6,18
perm_xgb,24,0.7,18
perm_xgb,24,0.8,15
perm_xgb,24,0.9,15
perm_xgb,25,0.6,19
perm_xgb,25,0.7,18
perm_xgb,25,0.8,18
perm_xgb,25,0.9,15
perm_xgb,26,0.6,20
perm_xgb,26,0.7,19
perm_xgb,26,0.8,19
perm_xgb,26,0.9,17
perm_xgb,27,0.6,22
perm_xgb,27,0.7,21
perm_xgb,27,0.8,19
perm_xgb,27,0.9,17
perm_xgb,28,0.6,22
perm_xgb,28,0.7,22
perm_xgb,28,0.8,21
perm_xgb,28,0.9,19
perm_xgb,29,0.6,25
perm_xgb,29,0.7,23
perm_xgb,29,0.8,21
perm_xgb,29,0.9,21
perm_xgb,30,0.6,28
perm_xgb,30,0.7,24
perm_xgb,30,0.8,23
perm_xgb,30,0.9,23
perm_xgb,31,0.6,29
perm_xgb,31,0.7,27
perm_xgb,31,0.8,27
perm_xgb,31,0.9,23
perm_xgb,32,0.6,32
perm_xgb,32,0.7,31
perm_xgb,32,0.8,29
perm_xgb,32,0.9,27
perm_xgb,33,0.6,33
perm_xgb,33,0.7,33
perm_xgb,33,0.8,33
perm_xgb,33,0.9,33
perm_catboost,1,0.6,0
perm_catboost,1,0.7,0
perm_catboost,1,0.8,0
perm_catboost,1,0.9,0
perm_catboost,2,0.6,0
perm_catboost,2,0.7,0
perm_catboost,2,0.8,0
perm_catboost,2,0.9,0
perm_catboost,3,0.6,1
perm_catboost,3,0.7,1
perm_catboost,3,0.8,1
perm_catboost,3,0.9,1
perm_catboost,4,0.6,1
perm_catboost,4,0.7,1
perm_catboost,4,0.8,1
perm_catboost,4,0.9,1
perm_catboost,5,0.6,3
perm_catboost,5,0.7,3
perm_catboost,5,0.8,3
perm_catboost,5,0.9,3
perm_catboost,6,0.6,3
perm_catboost,6,0.7,3
perm_catboost,6,0.8,3
perm_catboost,6,0.9,3
perm_catboost,7,0.6,3
perm_catboost,7,0.7,3
perm_catboost,7,0.8,3
perm_catboost,7,0.9,3
perm_catboost,8,0.6,3
perm_catboost,8,0.7,3
perm_catboost,8,0.8,3
perm_catboost,8,0.9,3
perm_catboost,9,0.6,4
perm_catboost,9,0.7,4
perm_catboost,9,0.8,3
perm_catboost,9,0.9,3
perm_catboost,10,0.6,4
perm_catboost,10,0.7,4
perm_catboost,10,0.8,4
perm_catboost,10,0.9,4
perm_catboost,11,0.6,5
perm_catboost,11,0.7,5
perm_catboost,11,0.8,4
perm_catboost,11,0.9,4
perm_catboost,12,0.6,6
perm_catboost,12,0.7,5
perm_catboost,12,0.8,5
perm_catboost,12,0.9,5
perm_catboost,13,0.6,7
perm_catboost,13,0.7,6
perm_catboost,13,0.8,6
perm_catboost,13,0.9,5
perm_catboost,14,0.6,7
perm_catboost,14,0.7,7
perm_catboost,14,0.8,6
perm_catboost,14,0.9,5
perm_catboost,15,0.6,7
perm_catboost,15,0.7,7
perm_catboost,15,0.8,7
perm_catboost,15,0.9,7
perm_catboost,16,0.6,8
perm_catboost,16,0.7,7
perm_catboost,16,0.8,7
perm_catboost,16,0.9,7
perm_catboost,17,0.6,11
perm_catboost,17,0.7,9
perm_catboost,17,0.8,7
perm_catboost,17,0.9,7
perm_catboost,18,0.6,11
perm_catboost,18,0.7,11
perm_catboost,18,0.8,9
perm_catboost,18,0.9,7
perm_catboost,19,0.6,11
perm_catboost,19,0.7,11
perm_catboost,19,0.8,10
perm_catboost,19,0.9,9
perm_catboost,20,0.6,14
perm_catboost,20,0.7,11
perm_catboost,20,0.8,11
perm_catboost,20,0.9,10
perm_catboost,21,0.6,17
perm_catboost,21,0.7,13
perm_catboost,21,0.8,11
perm_catboost,21,0.9,10
perm_catboost,22,0.6,19
perm_catboost,22,0.7,17
perm_catboost,22,0.8,14
perm_catboost,22,0.9,11
perm_catboost,23,0.6,19
perm_catboost,23,0.7,18
perm_catboost,23,0.8,16
perm_catboost,23,0.9,13
perm_catboost,24,0.6,20
perm_catboost,24,0.7,20
perm_catboost,24,0.8,17
perm_catboost,24,0.9,15
perm_catboost,25,0.6,20
perm_catboost,25,0.7,20
perm_catboost,25,0.8,19
perm_catboost,25,0.9,17
perm_catboost,26,0.6,23
perm_catboost,26,0.7,20
perm_catboost,26,0.8,20
perm_catboost,26,0.9,17
perm_catboost,27,0.6,23
perm_catboost,27,0.7,21
perm_catboost,27,0.8,20
perm_catboost,27,0.9,18
perm_catboost,28,0.6,26
perm_catboost,28,0.7,21
perm_catboost,28,0.8,20
perm_catboost,28,0.9,19
perm_catboost,29,0.6,27
perm_catboost,29,0.7,23
perm_catboost,29,0.8,21
perm_catboost,29,0.9,19
perm_catboost,30,0.6,28
perm_catboost,30,0.7,27
perm_catboost,30,0.8,22
perm_catboost,30,0.9,19
perm_catboost,31,0.6,31
perm_catboost,31,0.7,30
perm_catboost,31,0.8,25
perm_catboost,31,0.9,21
perm_catboost,32,0.6,33
perm_catboost,32,0.7,32
perm_catboost,32,0.8,30
perm_catboost,32,0.9,26
perm_catboost,33,0.6,33
perm_catboost,33,0.7,33
perm_catboost,33,0.8,33
perm_catboost,33,0.9,33
