iteration,static_mahalanobis,mobile_mahalanobis,static_lda_ratio,mobile_lda_ratio
0,2.2596119007092583,2.426359533206498,1.3083020466744022,1.4789641155913773
1,2.2537123163303896,2.4390435781478303,1.299481360056345,1.4931226156301087
2,2.251134930682367,2.4311064375321814,1.2957326970604321,1.484258603760418
3,2.2545724013351083,2.4507369735761415,1.3056310186713647,1.5087083927409024
4,2.2321981524196217,2.432172775984944,1.2763619186189061,1.4869929847473324
5,2.2341004586890536,2.4225130251106513,1.2769552233476789,1.4748732120288217
6,2.254819052775347,2.4206330709131887,1.304277329221385,1.4726993881567911
7,2.2405303523348996,2.397492547107373,1.2863630650686544,1.4441524547424247
8,2.2186472958767505,2.4352313906022163,1.2599425610075266,1.4892146975668017
9,2.278579946548851,2.4003266177142804,1.3280874112801504,1.4476990218187376
10,2.2328481224283077,2.465256438946076,1.2755856614768324,1.525393588946199
11,2.23709577662983,2.4287520616249147,1.2777804553610381,1.4816607802025892
12,2.2371947858616528,2.4129442733369606,1.2803778760368836,1.4617394867440747
13,2.2425564564356213,2.4103753945085225,1.2819553768383642,1.4599139399227188
14,2.2488318019985,2.40603759381005,1.2979945101194894,1.4547081004563573
15,2.214707019726358,2.3896165076528364,1.2553628450795522,1.4348129448304312
16,2.23605191028414,2.409802977613466,1.2764287122610838,1.4576803640774123
17,2.2190483956808102,2.4018985959979067,1.2587931894834596,1.4507678156616945
18,2.2541026477220574,2.4106964023358866,1.2956949552492403,1.4599336298523984
19,2.2289126409219304,2.4289972907393027,1.2763604464747529,1.4828480103562582
20,2.243187464574142,2.4406133224615894,1.286132442277746,1.4966258181279595
21,2.2525935505406784,2.418165067275014,1.2960104469517548,1.4687814452102417
22,2.255467947980663,2.4282555480308194,1.3011503922447114,1.4805732656982262
23,2.2386949582932316,2.4690128090177925,1.2821621484014907,1.5304287506178043
24,2.2515374292762624,2.436317208313935,1.29195920817249,1.4915577238937625
25,2.233726838908765,2.4041146858421,1.2759236307587434,1.4521222416806958
26,2.246403522650512,2.438580121226949,1.2904523023656544,1.493143472602041
27,2.2576256938842802,2.4540748455902763,1.3036408986460861,1.5134844425855605
28,2.2572252507787343,2.416787102130953,1.3023839880887909,1.468445817210882
29,2.248482312967349,2.41764500642979,1.294548765959744,1.4676985707219437
30,2.267000835585784,2.428262833858464,1.3125717597001982,1.4819985147214463
31,2.2323149134926936,2.418369726433845,1.2770585827973266,1.468043804830406
32,2.2545095802290573,2.4335738027802054,1.2975905501810356,1.4887105916046925
33,2.254542087919387,2.427903129214172,1.2966159832504311,1.4836320069650741
34,2.2126435360269783,2.4303139333430854,1.251768364731165,1.483381024349235
35,2.269285986005556,2.40405795181999,1.3173937771477573,1.4516478682656382
36,2.227468940882746,2.43768406366763,1.267118129771846,1.4915699125598563
37,2.238124541024344,2.4018868695420066,1.2810535324579073,1.4495224954883823
38,2.256366381238306,2.4397742643576326,1.3000112944449003,1.4946781217714833
39,2.263382821521648,2.4110286269687053,1.3037781135181918,1.4592595693284212
40,2.2462371140711817,2.4467988777084186,1.2865066837843768,1.5037153499539022
41,2.2479069519764643,2.4115167854551225,1.2912242208157991,1.4611176534859158
42,2.263244218994055,2.4216435481881327,1.306844115630623,1.4727458860529437
43,2.2386347556480777,2.4216678915435734,1.2776537021456786,1.473044323161703
44,2.2471094035034334,2.4226687569350513,1.286907825162928,1.4741183315597186
45,2.238122368049373,2.4078670623890233,1.2877072210262546,1.4560056591857178
46,2.236741676871765,2.4273534126802176,1.2822652217882409,1.4807223223456227
47,2.235831684546178,2.4279548086044445,1.278147270861344,1.4807743367944848
48,2.2503988255888956,2.4155710402534627,1.2910489264890372,1.4670412075331585
49,2.2467576161597265,2.423421416111151,1.2899027084315302,1.4740118385727854
50,2.2581059450243375,2.4169006962273256,1.301048286231093,1.467227693799276
51,2.2553863505522846,2.441804601705825,1.3004245521218387,1.4974319434594574
52,2.2542742363055286,2.409887357205789,1.2992726995889523,1.4576654379634897
53,2.2639740997569566,2.443351527984772,1.315279511330884,1.4985525529386925
54,2.2274662601726085,2.4265556690611465,1.2729872331096668,1.4801050309056893
55,2.2370560629117286,2.3822863740234874,1.2772765392158423,1.4254565262595957
56,2.264266353182919,2.421195016997006,1.3145534537666066,1.471350116784566
57,2.2628923084270545,2.44717875211745,1.3102466631692518,1.5051705948459497
58,2.254095367583984,2.421366478116197,1.2997723037398445,1.4740923144085092
59,2.2400711130564996,2.450738303560018,1.2806437687058765,1.5086496283640436
60,2.244241964056201,2.414634493805337,1.2904312245140366,1.4637975258894553
61,2.2864572490950366,2.4436122708478685,1.3356544215544455,1.498471070829055
62,2.2626248885616027,2.413795327322178,1.3097304355686565,1.4631653290148263
63,2.249843477313685,2.4160809777239645,1.2996482874943223,1.4667039329731004
64,2.247037515486183,2.4315565151227663,1.2962572966321477,1.484359371307131
65,2.26807086207957,2.409400125426789,1.3149520175091811,1.4577656867541806
66,2.231640592576576,2.4313891245164374,1.2710333871693578,1.4852734028728345
67,2.24307540772772,2.4259414777328376,1.2876288838640126,1.4795755008869746
68,2.259150287879011,2.407148822008832,1.3036450724558932,1.4558016638727322
69,2.253943985130779,2.4509467304338703,1.2974115203595717,1.5076733819113979
70,2.256343548795353,2.4245996256810156,1.3036960567521811,1.4754180671147816
71,2.2796971571346067,2.3812263167426653,1.3280180444941574,1.4239838625555084
72,2.2661906107227163,2.426519837906487,1.3130409239268264,1.478696420903214
73,2.2376813447409294,2.4364600258551654,1.2823244598064267,1.4912079222759869
74,2.241550470793318,2.4355305435682295,1.2866165568381907,1.4904083864900572
75,2.257443175343441,2.438769456766636,1.3051990653519583,1.493080056182586
76,2.2604708117851873,2.4269914652764486,1.307037889715579,1.4791435347261839
77,2.2395397579484766,2.4244508436590153,1.2823871203696424,1.4757427068330375
78,2.1973477098714307,2.44382476812776,1.2350965527765996,1.5000541255095856
79,2.249019751892149,2.4187409990324698,1.2860573391350363,1.4688232325584567
80,2.245852863160474,2.389501449568501,1.2949314954052666,1.4346928735360918
81,2.2429960079284887,2.4327993555528686,1.2831341848113338,1.4875592815552605
82,2.2514073927922427,2.4066209400124725,1.2927972781218282,1.454674689523339
83,2.2568509426462158,2.419419321753009,1.3051066916239416,1.4693583098023169
84,2.273013647148174,2.422547084940205,1.3198910855323056,1.4736942736252676
85,2.266853779754908,2.425184676568881,1.3200360301311647,1.4766143678291213
86,2.2551081314333983,2.4314133059306733,1.3001608222680752,1.4865464630456142
87,2.246227761942878,2.4168023697123173,1.287004976103211,1.4660335736538743
88,2.2596622672215814,2.4319083006374216,1.3014400439817029,1.486827001764905
89,2.241521904837983,2.458350748870862,1.2881750828462957,1.5189147804849437
90,2.2572974768222327,2.4277182383305687,1.3033464626640776,1.4801030477445147
91,2.2441085697683523,2.449540009615446,1.2878408337339093,1.507191572315362
92,2.263052699035758,2.410260485717576,1.3079095626663217,1.4600574074751287
93,2.2477615751235205,2.443914784652629,1.2849553077951363,1.4993082328615583
94,2.2450162769737716,2.4243750451207533,1.288219863035369,1.4762466192544217
95,2.2434985145514736,2.391829346879272,1.2842344118977715,1.4367141521146563
96,2.2607121368841314,2.4164716420480277,1.3069903971536079,1.4668770030543699
97,2.242311879313903,2.415423575721942,1.2846064248889066,1.4664917109155509
98,2.229674243690782,2.4342618186763216,1.2724259185069744,1.4879072171108332
99,2.252664439058075,2.4202132294457677,1.2941926975156959,1.4713980252064547
